erp_invoice_id;reference_id;created;fulfillment_rate
VO18/010413;EO437111;2018.02.08 13:57;in stock
VO18/010414;VO18/010414;2018.02.08 0:00;in stock
VO18/010420;EO437106;2018.02.08 13:24;partially fulfilled
VO18/010432;, SO-331199;2018.02.08 0:00;in stock
VO18/010434;EO437117;2018.02.08 14:15;in stock
VO18/010453;VO18/010453;2018.02.08 0:00;in stock
VO18/010455;EO437136;2018.02.08 15:04;in stock
VO18/010459;EO437143;2018.02.08 15:31;in stock
VO18/010460;EO437144;2018.02.08 15:33;in stock
VO18/010461;EO437149;2018.02.08 15:46;in stock
VO18/010462;, SO-331217;2018.02.08 0:00;partially fulfilled
VO18/010463/1;VO18/010463;2018.02.08 0:00;in stock
VO18/010470;EO437160;2018.02.08 16:54;in stock
VO18/010478;, SO-331246;2018.02.08 0:00;in stock
VO18/010479;EO437166;2018.02.08 17:18;in stock
VO18/010481;EO437179;2018.02.08 18:16;all out of stock
VO18/010482;EO437180;2018.02.08 18:16;partially fulfilled
VO18/010483;EO437182;2018.02.08 18:25;in stock
VO18/010493;EO437147;2018.02.08 15:43;partially fulfilled
VO18/010508;EO437168;2018.02.08 17:22;partially fulfilled
VO18/010512;EO437172;2018.02.08 17:42;partially fulfilled
VO18/010514;EO437177;2018.02.08 17:52;all out of stock
VO18/010527;EO437193;2018.02.08 19:12;all out of stock
VO18/010564;EO437238;2018.02.09 5:23;partially fulfilled
VO18/010580;EO437183;2018.02.08 18:32;in stock
VO18/010582;EO437208;2018.02.08 20:46;in stock
VO18/010584;EO437216;2018.02.08 21:50;in stock
VO18/010585;EO437219;2018.02.08 22:04;in stock
VO18/010586;EO437224;2018.02.08 22:19;in stock
VO18/010590;EO437246;2018.02.09 7:08;in stock
VO18/010596;EO437241;2018.02.09 6:32;in stock
VO18/010597;EO437260;2018.02.09 8:12;in stock
VO18/010598;EO437261;2018.02.09 8:16;in stock
VO18/010601;EO437268;2018.02.09 8:36;all out of stock
VO18/010604;EO437280;2018.02.09 9:26;in stock
VO18/010605;EO437282;2018.02.09 9:29;in stock
VO18/010612;, SO-331383;2018.02.09 0:00;in stock
VO18/010619/1;EO437253;2018.02.09 0:00;all out of stock
VO18/010627;EO437288;2018.02.09 9:44;partially fulfilled
VO18/010647/1;EO437324;2018.02.09 0:00;partially fulfilled
VO18/010648;VO18/010648;2018.02.09 0:00;partially fulfilled
VO18/010649;EO437296;2018.02.09 10:31;in stock
VO18/010650;EO437301;2018.02.09 10:55;in stock
VO18/010651;EO437304;2018.02.09 11:08;in stock
VO18/010652;EO437307;2018.02.09 11:10;in stock
VO18/010655;EO437310;2018.02.09 11:16;in stock
VO18/010657;EO437314;2018.02.09 11:30;in stock
VO18/010658;EO437319;2018.02.09 11:46;partially fulfilled
VO18/010661;EO437332;2018.02.09 12:35;in stock
VO18/010662;EO437334;2018.02.09 12:42;in stock
VO18/010673;EO437315;2018.02.09 11:33;partially fulfilled
VO18/010681;EO437326;2018.02.09 12:08;partially fulfilled
VO18/010689;EO437331;2018.02.09 12:31;in stock
VO18/010694;, SO-331469;2018.02.09 0:00;in stock
VO18/010695;, SO-331472;2018.02.09 0:00;in stock
VO18/010696;, SO-331471;2018.02.09 0:00;in stock
VO18/010697/1;VO18/010697;2018.02.09 0:00;in stock
VO18/010701/1;VO18/010701;2018.02.09 0:00;in stock
VO18/010702;VO18/010702;2018.02.09 0:00;in stock
VO18/010708;EO437343;2018.02.09 13:21;in stock
VO18/010709;EO437345;2018.02.09 13:26;in stock
VO18/010710;EO437351;2018.02.09 13:53;in stock
VO18/010711;EO437353;2018.02.09 13:57;in stock
VO18/010713;EO437360;2018.02.09 14:27;in stock
VO18/010715;EO437362;2018.02.09 14:36;in stock
VO18/010716/2;, SO-331487;2018.02.09 0:00;in stock
VO18/010722;EO437350;2018.02.09 13:51;all out of stock
VO18/010725;EO437355;2018.02.09 14:00;partially fulfilled
VO18/010734;, SO-331515;2018.02.09 0:00;in stock
VO18/010735;, SO-331516;2018.02.09 0:00;in stock
VO18/010739;, SO-331521;2018.02.09 0:00;in stock
VO18/010747/2;, SO-331531;2018.02.09 0:00;all out of stock
VO18/010750/1;EO437386;2018.02.09 0:00;partially fulfilled
VO18/010751;EO437363;2018.02.09 14:39;in stock
VO18/010752;EO437365;2018.02.09 14:45;in stock
VO18/010753;EO437364;2018.02.09 14:46;in stock
VO18/010754;EO437370;2018.02.09 15:14;in stock
VO18/010755;EO437373;2018.02.09 15:29;partially fulfilled
VO18/010756;EO437382;2018.02.09 16:14;in stock
VO18/010758;EO437391;2018.02.09 16:53;in stock
VO18/010759;, SO-331543;2018.02.09 0:00;in stock
VO18/010766;EO437401;2018.02.09 17:52;in stock
VO18/010767;, SO-331552;2018.02.09 0:00;in stock
VO18/010770;EO437410;2018.02.09 18:57;in stock
VO18/010772;EO437425;2018.02.09 21:29;in stock
VO18/010773;EO437433;2018.02.09 22:20;in stock
VO18/010775;EO437440;2018.02.10 2:35;in stock
VO18/010776;EO437444;2018.02.10 7:51;in stock
VO18/010778;EO437449;2018.02.10 8:31;in stock
VO18/010780;EO437452;2018.02.10 8:54;in stock
VO18/010782;, SO-331555;2018.02.10 0:00;in stock
VO18/010784;EO437459;2018.02.10 9:39;all out of stock
VO18/010786;, SO-331556;2018.02.10 0:00;in stock
VO18/010789;EO437472;2018.02.10 10:37;in stock
VO18/010790;EO437475;2018.02.10 10:44;in stock
VO18/010792;, SO-331558;2018.02.10 0:00;in stock
VO18/010794;EO437481;2018.02.10 11:20;in stock
VO18/010796;, SO-331583;2018.02.10 0:00;in stock
VO18/010797;, SO-331585;2018.02.10 0:00;in stock
VO18/010798/4;, SO-331587;2018.02.10 0:00;in stock
